r,t,m,y,TechnologyActivityChangeByModeCostTotal
REGION1,LNDAGRGAMC01,56,2024,0.0153
REGION1,LNDAGRGAMC01,56,2025,0.0075
REGION1,LNDAGRGAMC01,56,2026,0.0003
REGION1,LNDAGRGAMC02,55,2020,0.0182
REGION1,LNDAGRGAMC02,55,2021,0.0188
REGION1,LNDAGRGAMC02,55,2022,0.0236
REGION1,LNDAGRGAMC02,55,2023,0.0243
REGION1,LNDAGRGAMC02,55,2024,0.0148
REGION1,LNDAGRGAMC02,55,2025,0.0117
REGION1,LNDAGRGAMC02,55,2026,0.0107
REGION1,LNDAGRGAMC02,55,2027,0.0176
REGION1,LNDAGRGAMC02,55,2028,0.0231
REGION1,LNDAGRGAMC02,55,2029,0.024
REGION1,LNDAGRGAMC02,55,2030,9.5005
REGION1,LNDAGRGAMC02,56,2019,0.0206
REGION1,LNDAGRGAMC02,56,2030,9.5138
REGION1,LNDAGROROC01,55,2029,3.6458
REGION1,LNDAGROROC01,55,2030,10.7738
REGION1,LNDAGROROC01,56,2019,2.5319
REGION1,LNDAGROROC01,56,2020,2.2693
REGION1,LNDAGROROC01,56,2021,2.2278
REGION1,LNDAGROROC01,56,2022,2.1341
REGION1,LNDAGROROC01,56,2023,1.518
REGION1,LNDAGROROC01,56,2024,1.2194
REGION1,LNDAGROROC01,56,2025,0.9263
REGION1,LNDAGROROC01,56,2026,0.6483
REGION1,LNDAGROROC01,56,2027,0.3736
REGION1,LNDAGROROC01,56,2028,0.1033
REGION1,LNDAGROROC01,56,2030,6.5255
REGION1,LNDAGROROC02,55,2021,1.079
REGION1,LNDAGROROC02,55,2022,2.9203
REGION1,LNDAGROROC02,55,2023,2.7397
REGION1,LNDAGROROC02,55,2024,2.6372
REGION1,LNDAGROROC02,55,2025,2.6293
REGION1,LNDAGROROC02,55,2026,2.8243
REGION1,LNDAGROROC02,55,2027,1.4972
REGION1,LNDAGROROC02,55,2028,1.7866
REGION1,LNDAGROROC02,56,2019,2.1737
REGION1,LNDAGROROC02,56,2020,2.6773
REGION1,LNDAGROROC02,56,2021,1.7871
REGION1,LNDAGROROC03,55,2024,0.4587
REGION1,LNDAGROROC03,55,2025,0.7357
REGION1,LNDAGROROC03,55,2026,0.8346
REGION1,LNDAGROROC03,55,2027,2.8569
REGION1,LNDAGROROC03,55,2028,2.9003
REGION1,LNDAGROROC03,55,2029,2.992
REGION1,LNDAGROROC03,55,2030,3.1866
REGION1,LNDAGROROC03,56,2019,0.8362
REGION1,LNDAGROROC03,56,2020,0.8474
REGION1,LNDAGROROC03,56,2021,0.619
REGION1,LNDAGROROC03,56,2022,0.1553
REGION1,LNDAGRSOMC01,56,2019,0.2943
REGION1,LNDAGRSOMC01,56,2020,0.2674
REGION1,LNDAGRSOMC01,56,2021,0.2385
REGION1,LNDAGRSOMC01,56,2022,0.2177
REGION1,LNDAGRSOMC01,56,2023,0.1951
REGION1,LNDAGRSOMC01,56,2024,0.1732
REGION1,LNDAGRSOMC01,56,2025,0.1503
REGION1,LNDAGRSOMC01,56,2026,0.131
REGION1,LNDAGRSOMC01,56,2027,0.1148
REGION1,LNDAGRSOMC01,56,2028,0.0989
REGION1,LNDAGRSOMC01,56,2029,0.0857
REGION1,LNDAGRSOMC02,55,2019,0.0351
REGION1,LNDAGRSOMC02,55,2020,0.0127
REGION1,LNDAGRSOMC02,55,2021,0.009
REGION1,LNDAGRSOMC02,55,2022,0.0132
REGION1,LNDAGRSOMC02,55,2023,0.0103
REGION1,LNDAGRSOMC02,55,2024,0.0013
REGION1,LNDAGRSOMC03,55,2023,0.0053
REGION1,LNDAGRSOMC03,55,2024,0.017
REGION1,LNDAGRSOMC03,55,2025,0.0135
REGION1,LNDAGRSOMC03,55,2026,0.0157
REGION1,LNDAGRSOMC03,55,2027,0.0193
REGION1,LNDAGRSOMC03,55,2028,0.0182
REGION1,LNDAGRSOMC03,55,2029,0.0206
REGION1,LNDAGRSOMC03,55,2030,0.0139
REGION1,LNDAGRSOMC03,56,2019,0.0281
REGION1,LNDAGRSOMC03,56,2020,0.0202
REGION1,LNDAGRSOMC03,56,2021,0.0108
REGION1,LNDAGRSOUC01,55,2027,0.2452
REGION1,LNDAGRSOUC01,55,2028,0.8933
