r,t,y,NewCapacity
REGION1,DEMCOMKER,2034,99999.0
REGION1,DEMCOMKER,2035,99999.0
REGION1,DEMCOMKER,2036,99999.0
REGION1,DEMCOMKER,2037,99999.0
REGION1,DEMCOMKER,2038,99999.0
REGION1,DEMCOMKER,2039,99999.0
REGION1,DEMCOMKER,2040,99999.0
REGION1,DEMCOMLPG,2018,99999.0
REGION1,DEMCOMLPG,2019,99999.0
REGION1,DEMCOMLPG,2020,99999.0
REGION1,DEMCOMLPG,2021,99999.0
REGION1,DEMCOMLPG,2022,99999.0
REGION1,DEMCOMLPG,2023,99999.0
REGION1,DEMCOMLPG,2024,99999.0
REGION1,DEMCOMLPG,2025,99999.0
REGION1,DEMCOMLPG,2026,99999.0
REGION1,DEMCOMLPG,2027,99999.0
REGION1,DEMCOMLPG,2028,99999.0
REGION1,DEMCOMLPG,2029,99999.0
REGION1,DEMCOMLPG,2030,99999.0
REGION1,DEMCOMLPG,2031,99999.0
REGION1,DEMCOMLPG,2032,99999.0
REGION1,DEMCOMLPG,2033,99999.0
REGION1,DEMCOMLPG,2034,99999.0
REGION1,DEMCOMLPG,2035,99999.0
REGION1,DEMCOMLPG,2036,99999.0
REGION1,DEMCOMLPG,2037,99999.0
REGION1,DEMCOMLPG,2038,99999.0
REGION1,DEMCOMLPG,2039,99999.0
REGION1,DEMCOMLPG,2040,99999.0
REGION1,DEMCOMNGS,2018,99999.0
REGION1,DEMCOMNGS,2019,99999.0
REGION1,DEMCOMNGS,2020,99999.0
REGION1,DEMCOMNGS,2021,99999.0
REGION1,DEMCOMNGS,2022,99999.0
REGION1,DEMCOMNGS,2023,99999.0
REGION1,DEMCOMNGS,2024,99999.0
REGION1,DEMCOMNGS,2025,99999.0
REGION1,DEMCOMNGS,2026,99999.0
REGION1,DEMCOMNGS,2027,99999.0
REGION1,DEMCOMNGS,2028,99999.0
REGION1,DEMCOMNGS,2029,99999.0
REGION1,DEMCOMNGS,2030,99999.0
REGION1,DEMCOMNGS,2031,99999.0
REGION1,DEMCOMNGS,2032,99999.0
REGION1,DEMCOMNGS,2033,99999.0
REGION1,DEMCOMNGS,2034,99999.0
REGION1,DEMCOMNGS,2035,99999.0
REGION1,DEMCOMNGS,2036,99999.0
REGION1,DEMCOMNGS,2037,99999.0
REGION1,DEMCOMNGS,2038,99999.0
REGION1,DEMCOMNGS,2039,99999.0
REGION1,DEMCOMNGS,2040,99999.0
REGION1,DEMINDBIO,2018,99999.0
REGION1,DEMINDBIO,2019,99999.0
REGION1,DEMINDBIO,2020,99999.0
REGION1,DEMINDBIO,2021,99999.0
REGION1,DEMINDBIO,2022,99999.0
REGION1,DEMINDBIO,2023,99999.0
REGION1,DEMINDBIO,2024,99999.0
REGION1,DEMINDBIO,2025,99999.0
REGION1,DEMINDBIO,2026,99999.0
REGION1,DEMINDBIO,2027,99999.0
REGION1,DEMINDBIO,2028,99999.0
REGION1,DEMINDBIO,2029,99999.0
REGION1,DEMINDBIO,2030,99999.0
REGION1,DEMINDBIO,2031,99999.0
REGION1,DEMINDBIO,2032,99999.0
REGION1,DEMINDBIO,2033,99999.0
REGION1,DEMINDBIO,2034,99999.0
REGION1,DEMINDBIO,2035,99999.0
REGION1,DEMINDBIO,2036,99999.0
REGION1,DEMINDBIO,2037,99999.0
REGION1,DEMINDBIO,2038,99999.0
REGION1,DEMINDBIO,2039,99999.0
REGION1,DEMINDBIO,2040,99999.0
REGION1,DEMINDCOA,2018,99999.0
REGION1,DEMINDCOA,2019,99999.0
REGION1,DEMINDCOA,2020,99999.0
REGION1,DEMINDCOA,2021,99999.0
REGION1,DEMINDCOA,2022,99999.0
REGION1,DEMINDCOA,2023,99999.0
REGION1,DEMINDCOA,2024,99999.0
REGION1,DEMINDCOA,2025,99999.0
REGION1,DEMINDCOA,2026,99999.0
REGION1,DEMINDCOA,2027,99999.0
REGION1,DEMINDCOA,2028,99999.0
REGION1,DEMINDCOA,2029,99999.0
REGION1,DEMINDCOA,2030,99999.0
REGION1,DEMINDCOA,2031,99999.0
REGION1,DEMINDCOA,2032,99999.0
REGION1,DEMINDCOA,2033,99999.0
REGION1,DEMINDCOA,2034,99999.0
REGION1,DEMINDCOA,2035,99999.0
REGION1,DEMINDCOA,2036,99999.0
REGION1,DEMINDCOA,2037,99999.0
REGION1,DEMINDCOA,2038,99999.0
REGION1,DEMINDCOA,2039,99999.0
REGION1,DEMINDCOA,2040,99999.0
REGION1,DEMINDDSL,2018,99999.0
REGION1,DEMINDDSL,2019,99999.0
REGION1,DEMINDDSL,2020,99999.0
REGION1,DEMINDDSL,2021,99999.0
REGION1,DEMINDDSL,2022,99999.0
REGION1,DEMINDDSL,2023,99999.0
REGION1,DEMINDDSL,2024,99999.0
REGION1,DEMINDDSL,2025,99999.0
REGION1,DEMINDDSL,2026,99999.0
REGION1,DEMINDDSL,2027,99999.0
REGION1,DEMINDDSL,2028,99999.0
REGION1,DEMINDDSL,2029,99999.0
REGION1,DEMINDDSL,2030,99999.0
REGION1,DEMINDDSL,2031,99999.0
REGION1,DEMINDDSL,2032,99999.0
REGION1,DEMINDDSL,2033,99999.0
REGION1,DEMINDDSL,2034,99999.0
REGION1,DEMINDDSL,2035,99999.0
REGION1,DEMINDDSL,2036,99999.0
REGION1,DEMINDDSL,2037,99999.0
