r,t,y,AnnualVariableOperatingCost
REGION1,DEMAGRSURRRD,2030,0.0
REGION1,DEMAGRSURSOC,2016,0.0068
REGION1,DEMAGRSURSOC,2017,0.0078
REGION1,DEMAGRSURSOC,2018,0.0087
REGION1,DEMAGRSURSOC,2019,0.0095
REGION1,DEMAGRSURSOC,2020,0.0104
REGION1,DEMAGRSURSOC,2021,0.0112
REGION1,DEMAGRSURSOC,2022,0.012
REGION1,DEMAGRSURSOC,2023,0.0129
REGION1,DEMAGRSURSOC,2024,0.0136
REGION1,DEMAGRSURSOC,2025,0.0144
REGION1,DEMAGRSURSOC,2026,0.015
REGION1,DEMAGRSURSOC,2027,0.0157
REGION1,DEMAGRSURSOC,2028,0.0163
REGION1,DEMAGRSURSOC,2029,0.017
REGION1,DEMAGRSURSOC,2030,0.0175
REGION1,DEMAGRSURSOE,2016,0.0048
REGION1,DEMAGRSURSOE,2017,0.0045
REGION1,DEMAGRSURSOE,2018,0.0042
REGION1,DEMAGRSURSOE,2019,0.004
REGION1,DEMAGRSURSOE,2020,0.0038
REGION1,DEMAGRSURSOE,2021,0.0036
REGION1,DEMAGRSURSOE,2022,0.0034
REGION1,DEMAGRSURSOE,2023,0.0032
REGION1,DEMAGRSURSOE,2024,0.0031
REGION1,DEMAGRSURSOE,2025,0.0032
REGION1,DEMAGRSURSOE,2026,0.0034
REGION1,DEMAGRSURSOE,2027,0.0039
REGION1,DEMAGRSURSOE,2028,0.0043
REGION1,DEMAGRSURSOE,2029,0.0047
REGION1,DEMAGRSURSOE,2030,0.0051
REGION1,DEMCOMBIO,2016,0.0001
REGION1,DEMCOMBIO,2017,0.0001
REGION1,DEMCOMBIO,2018,0.0002
REGION1,DEMCOMBIO,2019,0.0002
REGION1,DEMCOMBIO,2020,0.0002
REGION1,DEMCOMBIO,2021,0.0002
REGION1,DEMCOMBIO,2022,0.0002
REGION1,DEMCOMBIO,2023,0.0002
REGION1,DEMCOMBIO,2024,0.0002
REGION1,DEMCOMBIO,2025,0.0003
REGION1,DEMCOMBIO,2026,0.0003
REGION1,DEMCOMBIO,2027,0.0003
REGION1,DEMCOMBIO,2028,0.0003
