r,t,y,SalvageValue
Region1,DEMOFFCOMELC,2026,0.0
Region1,DEMOFFCOMELC,2027,0.0
Region1,DEMOFFCOMELC,2028,0.0
Region1,DEMOFFCOMELC,2029,0.0
Region1,DEMOFFRESELC,2014,0.0101
Region1,DEMPUBWATR01,2014,0.0002
Region1,DEMPUBWATR01,2015,0.0
Region1,DEMPUBWATR01,2016,0.0003
Region1,DEMPUBWATR01,2017,0.0
Region1,DEMPUBWATR01,2018,0.0
Region1,DEMPUBWATR01,2019,0.0
Region1,DEMPUBWATR01,2020,0.0
Region1,DEMPUBWATR01,2021,0.0
Region1,DEMPUBWATR01,2022,0.0
Region1,DEMPUBWATR01,2023,0.0
Region1,DEMPUBWATR01,2024,0.0
Region1,DEMPUBWATR01,2025,0.0
Region1,DEMPUBWATR01,2026,0.0
Region1,DEMPUBWATR01,2027,0.0
Region1,DEMPUBWATR01,2028,0.0
Region1,DEMPUBWATR01,2029,0.0
Region1,DEMPUBWATR01,2030,0.0
Region1,DEMPUBWATR02,2014,0.0006
Region1,DEMPUBWATR02,2015,0.0
Region1,DEMPUBWATR02,2016,0.0003
Region1,DEMPUBWATR02,2017,0.0
Region1,DEMPUBWATR02,2018,0.0
Region1,DEMPUBWATR02,2019,0.0
Region1,DEMPUBWATR02,2020,0.0
Region1,DEMPUBWATR02,2021,0.0
Region1,DEMPUBWATR02,2022,0.0
Region1,DEMPUBWATR02,2023,0.0
Region1,DEMPUBWATR02,2024,0.0
Region1,DEMPUBWATR02,2025,0.0
Region1,DEMPUBWATR02,2026,0.0
Region1,DEMPUBWATR02,2027,0.0
Region1,DEMPUBWATR02,2028,0.0
Region1,DEMPUBWATR02,2029,0.0
Region1,DEMPUBWATR02,2030,0.0
Region1,DEMPUBWATR03,2014,0.0
Region1,DEMPUBWATR03,2015,0.0
Region1,DEMPUBWATR03,2016,0.0
Region1,DEMPUBWATR03,2017,0.0
Region1,DEMPUBWATR03,2018,0.0
Region1,DEMPUBWATR03,2019,0.0
Region1,DEMPUBWATR03,2020,0.0
Region1,DEMPUBWATR03,2021,0.0
Region1,DEMPUBWATR03,2022,0.0
Region1,DEMPUBWATR03,2023,0.0
Region1,DEMPUBWATR03,2024,0.0
Region1,DEMPUBWATR03,2025,0.0
Region1,DEMPUBWATR03,2026,0.0
Region1,DEMPUBWATR03,2027,0.0
Region1,DEMPUBWATR03,2028,0.0
Region1,DEMPUBWATR03,2029,0.0
Region1,DEMPUBWATR03,2030,0.0
Region1,DEMPUBWATR04,2014,0.0001
Region1,DEMPUBWATR04,2015,0.0
Region1,DEMPUBWATR04,2016,0.0
Region1,DEMPUBWATR04,2017,0.0
Region1,DEMPUBWATR04,2018,0.0
Region1,DEMPUBWATR04,2019,0.0
Region1,DEMPUBWATR04,2020,0.0
Region1,DEMPUBWATR04,2021,0.0
Region1,DEMPUBWATR04,2022,0.0
Region1,DEMPUBWATR04,2023,0.0
Region1,DEMPUBWATR04,2024,0.0
Region1,DEMPUBWATR04,2025,0.0
Region1,DEMPUBWATR04,2026,0.0
Region1,DEMPUBWATR04,2027,0.0
Region1,DEMPUBWATR04,2028,0.0
Region1,DEMPUBWATR04,2029,0.0
Region1,DEMPUBWATR04,2030,0.0
Region1,DEMPUBWATR06,2014,0.0
Region1,DEMPUBWATR07,2014,0.0
Region1,DEMPUBWATR07,2015,0.0
Region1,DEMPUBWATR07,2016,0.0
Region1,DEMPUBWATR07,2017,0.0
Region1,DEMPUBWATR07,2018,0.0
Region1,DEMPUBWATR07,2019,0.0
Region1,DEMPUBWATR07,2020,0.0
Region1,DEMPUBWATR07,2021,0.0
Region1,DEMPUBWATR07,2022,0.0
Region1,DEMPUBWATR07,2023,0.0
Region1,DEMPUBWATR07,2024,0.0
Region1,DEMPUBWATR07,2025,0.0
Region1,DEMPUBWATR07,2026,0.0
Region1,DEMPUBWATR07,2027,0.0
Region1,DEMPUBWATR07,2028,0.0
Region1,DEMPUBWATR07,2029,0.0
Region1,DEMPUBWATR07,2030,0.0
Region1,DEMPUBWATR08,2014,0.0001
Region1,DEMPUBWATR08,2015,0.0
Region1,DEMPUBWATR08,2016,0.0
Region1,DEMPUBWATR08,2017,0.0
Region1,DEMPUBWATR08,2018,0.0
Region1,DEMPUBWATR08,2019,0.0
