r,t,TotalTechnologyModelPeriodActivity
Region1,PWRWND002,0.4167
Region1,RNWBIO,625.8333
Region1,RNWGEO,245.3829
Region1,RNWHYD,360.4388
Region1,RNWSOL,15.5816
Region1,RNWWATR01S1,162.3382
Region1,RNWWATR01S2,18.5175
Region1,RNWWATR02S1,68.5583
Region1,RNWWATR02S2,10.9559
Region1,RNWWATR03S1,129.5685
Region1,RNWWATR03S2,8.7197
Region1,RNWWATR04S1,59.177
Region1,RNWWATR04S2,3.9817
Region1,RNWWATR05S1,13.34
Region1,RNWWATR05S2,0.8929
Region1,RNWWATR06S1,123.485
Region1,RNWWATR06S2,50.0508
Region1,RNWWATR07S1,156.143
Region1,RNWWATR07S2,63.2871
Region1,RNWWATR08S1,226.8241
Region1,RNWWATR08S2,58.6976
Region1,RNWWATR09S1,67.5767
Region1,RNWWATR09S2,17.6941
Region1,RNWWATR10S1,131.2099
Region1,RNWWATR10S2,20.5999
Region1,RNWWATR11S1,71.5617
Region1,RNWWATR11S2,11.2508
Region1,RNWWATR12S1,778.5037
Region1,RNWWATR12S2,122.451
Region1,RNWWATR13S1,610.6432
Region1,RNWWATR13S2,190.1503
Region1,RNWWATR14S1,444.7982
Region1,RNWWATR14S2,138.5067
Region1,RNWWATR15S1,308.6099
Region1,RNWWATR15S2,130.6869
Region1,RNWWATR16S1,984.9512
Region1,RNWWATR16S2,278.3416
Region1,RNWWATR17S1,853.912
Region1,RNWWATR17S2,240.4123
Region1,RNWWATR18S1,1.4712
Region1,RNWWATR18S2,0.4324
Region1,RNWWATR19S1,130.9885
Region1,RNWWATR19S2,38.4546
Region1,RNWWATR20S1,97.3003
Region1,RNWWATR20S2,40.416
Region1,RNWWATR21S1,111.7936
Region1,RNWWATR21S2,46.5501
Region1,RNWWATR22S1,27.4443
Region1,RNWWATR22S2,9.7006
Region1,RNWWATR23S1,226.1878
Region1,RNWWATR23S2,90.1574
Region1,RNWWATR24S1,145.5641
Region1,RNWWATR24S2,37.4045
Region1,RNWWATR25S1,48.2262
Region1,RNWWATR25S2,12.425
Region1,RNWWATR26S1,343.2045
Region1,RNWWATR26S2,91.1647
Region1,RNWWATR27S1,51.7135
Region1,RNWWATR27S2,13.3717
Region1,RNWWATR28S1,37.1797
Region1,RNWWATR28S2,7.8973
Region1,RNWWATR29S1,99.5177
Region1,RNWWATR29S2,13.0154
Region1,RNWWATR30S1,126.4194
Region1,RNWWATR30S2,19.548
Region1,RNWWATR31S1,172.1657
Region1,RNWWATR31S2,24.7054
Region1,RNWWATR32S1,1197.0379
Region1,RNWWATR32S2,417.0169
Region1,RNWWATR33S1,190.3823
Region1,RNWWATR33S2,63.6101
Region1,RNWWATR34S1,18.8083
Region1,RNWWATR34S2,6.6071
Region1,RNWWATR35S1,156.7889
Region1,RNWWATR35S2,54.5271
Region1,RNWWND,11.4669
Region1,UPSBIOE002,12.9993
Region1,UPSCRU001,2298.4
Region1,UPSNGS001,765.0
