r,rr,l,f,y,Trade
"EXAMPLE","EXAMPLE","WN","CRPCP02",2021,0
"EXAMPLE","EXAMPLE","WN","CRPCP02",2022,0
"EXAMPLE","EXAMPLE","WN","ELC001",2019,0
"EXAMPLE","EXAMPLE","WN","ELC001",2020,0
"EXAMPLE","EXAMPLE","WN","ELC001",2021,0
"EXAMPLE","EXAMPLE","WN","ELC001",2022,0
"EXAMPLE","EXAMPLE","WN","ELC002",2019,0
"EXAMPLE","EXAMPLE","WN","ELC002",2020,0
"EXAMPLE","EXAMPLE","WN","ELC002",2021,0
"EXAMPLE","EXAMPLE","WN","ELC002",2022,0
"EXAMPLE","EXAMPLE","WN","GEO",2019,0
"EXAMPLE","EXAMPLE","WN","GEO",2020,0
"EXAMPLE","EXAMPLE","WN","GEO",2021,0
"EXAMPLE","EXAMPLE","WN","GEO",2022,0
"EXAMPLE","EXAMPLE","WN","HYD",2019,0
"EXAMPLE","EXAMPLE","WN","HYD",2020,0
"EXAMPLE","EXAMPLE","WN","HYD",2021,0
"EXAMPLE","EXAMPLE","WN","HYD",2022,0
"EXAMPLE","EXAMPLE","WN","LND",2019,0
"EXAMPLE","EXAMPLE","WN","LND",2020,0
"EXAMPLE","EXAMPLE","WN","LND",2021,0
"EXAMPLE","EXAMPLE","WN","LND",2022,0
"EXAMPLE","EXAMPLE","WN","PUBWAT",2019,0
"EXAMPLE","EXAMPLE","WN","PUBWAT",2020,0
"EXAMPLE","EXAMPLE","WN","PUBWAT",2021,0
"EXAMPLE","EXAMPLE","WN","PUBWAT",2022,0
"EXAMPLE","EXAMPLE","WN","SOL",2019,0
"EXAMPLE","EXAMPLE","WN","SOL",2020,0
"EXAMPLE","EXAMPLE","WN","SOL",2021,0
"EXAMPLE","EXAMPLE","WN","SOL",2022,0
"EXAMPLE","EXAMPLE","WN","SUG",2019,0
"EXAMPLE","EXAMPLE","WN","SUG",2020,0
"EXAMPLE","EXAMPLE","WN","SUG",2021,0
"EXAMPLE","EXAMPLE","WN","SUG",2022,0
"EXAMPLE","EXAMPLE","WN","WND",2019,0
"EXAMPLE","EXAMPLE","WN","WND",2020,0
"EXAMPLE","EXAMPLE","WN","WND",2021,0
"EXAMPLE","EXAMPLE","WN","WND",2022,0
"EXAMPLE","EXAMPLE","WN","WTREVT",2019,0
"EXAMPLE","EXAMPLE","WN","WTREVT",2020,0
"EXAMPLE","EXAMPLE","WN","WTREVT",2021,0
"EXAMPLE","EXAMPLE","WN","WTREVT",2022,0
"EXAMPLE","EXAMPLE","WN","WTRGWT",2019,0
"EXAMPLE","EXAMPLE","WN","WTRGWT",2020,0
"EXAMPLE","EXAMPLE","WN","WTRGWT",2021,0
"EXAMPLE","EXAMPLE","WN","WTRGWT",2022,0
"EXAMPLE","EXAMPLE","WN","WTRPRC",2019,0
"EXAMPLE","EXAMPLE","WN","WTRPRC",2020,0
"EXAMPLE","EXAMPLE","WN","WTRPRC",2021,0
"EXAMPLE","EXAMPLE","WN","WTRPRC",2022,0
"EXAMPLE","EXAMPLE","WN","WTRSUR",2019,0
"EXAMPLE","EXAMPLE","WN","WTRSUR",2020,0
"EXAMPLE","EXAMPLE","WN","WTRSUR",2021,0
"EXAMPLE","EXAMPLE","WN","WTRSUR",2022,0
