r,l,t,f,y,ProductionByTechnology
EXAMPLE,SN,MINPRC,WTRPRC,2021,73.1891
EXAMPLE,SN,MINPRC,WTRPRC,2022,255.6971
EXAMPLE,SN,PWRHYD,ELC001,2019,16.8559
EXAMPLE,SN,PWRHYD,ELC001,2020,16.8559
EXAMPLE,SN,PWRHYD,ELC001,2021,16.8559
EXAMPLE,SN,PWRHYD,ELC001,2022,16.8559
EXAMPLE,SN,PWRTRN,ELC002,2019,16.8559
EXAMPLE,SN,PWRTRN,ELC002,2020,16.8559
EXAMPLE,SN,PWRTRN,ELC002,2021,16.8559
EXAMPLE,SN,PWRTRN,ELC002,2022,16.8559
EXAMPLE,WD,DEMAGRDSL,AGRDSL,2019,4.17
EXAMPLE,WD,DEMAGRDSL,AGRDSL,2020,3.2685
EXAMPLE,WD,DEMAGRDSL,AGRDSL,2021,0.8781
EXAMPLE,WD,DEMAGRDSL,AGRDSL,2022,0.8498
EXAMPLE,WD,DEMAGRGWTWAT,AGRWAT,2019,3.4233
EXAMPLE,WD,DEMAGRGWTWAT,AGRWAT,2020,2.6863
EXAMPLE,WD,DEMAGRGWTWAT,AGRWAT,2021,1.5712
EXAMPLE,WD,DEMAGRGWTWAT,AGRWAT,2022,1.5782
EXAMPLE,WD,DEMAGRLND,AGRLND,2019,39.6805
EXAMPLE,WD,DEMAGRLND,AGRLND,2020,28.654
EXAMPLE,WD,DEMAGRLND,AGRLND,2021,8.7623
EXAMPLE,WD,DEMAGRLND,AGRLND,2022,8.5554
EXAMPLE,WD,DEMAGRSURWAT,AGRWAT,2019,12.7549
EXAMPLE,WD,DEMAGRSURWAT,AGRWAT,2020,13.1763
EXAMPLE,WD,DEMAGRSURWAT,AGRWAT,2021,1.3068
EXAMPLE,WD,DEMAGRSURWAT,AGRWAT,2022,1.1084
EXAMPLE,WD,DEMFORLND,FORLND,2020,4.9967
EXAMPLE,WD,DEMPUBSURWAT,PUBWAT,2021,12.48
EXAMPLE,WD,DEMPUBSURWAT,PUBWAT,2022,12.73
EXAMPLE,WD,DEMTRABIO,TRABIO,2019,30.0
EXAMPLE,WD,DEMTRABIO,TRABIO,2020,15.3
EXAMPLE,WD,DEMTRABIO,TRABIO,2021,15.605
EXAMPLE,WD,DEMTRABIO,TRABIO,2022,15.92
EXAMPLE,WD,LNDAGR001,CRPCP01,2019,8.8745
EXAMPLE,WD,LNDAGR001,CRPCP01,2020,2.55
EXAMPLE,WD,LNDAGR001,CRPCP01,2021,2.6008
EXAMPLE,WD,LNDAGR001,CRPCP01,2022,2.6533
EXAMPLE,WD,LNDAGR001,CRPCP02,2019,7.4669
EXAMPLE,WD,LNDAGR001,CRPCP02,2020,7.3212
EXAMPLE,WD,LNDAGR001,CRPCP02,2021,1.3283
EXAMPLE,WD,LNDAGR001,CRPCP02,2022,1.2399
EXAMPLE,WD,LNDAGR001,WTREVT,2019,23.5482
EXAMPLE,WD,LNDAGR001,WTREVT,2020,23.2531
EXAMPLE,WD,LNDAGR001,WTREVT,2021,8.6449
EXAMPLE,WD,LNDAGR001,WTREVT,2022,8.5778
EXAMPLE,WD,LNDAGR001,WTRGWT,2019,3.4233
EXAMPLE,WD,LNDAGR001,WTRGWT,2020,2.6863
EXAMPLE,WD,LNDAGR001,WTRGWT,2021,1.5712
EXAMPLE,WD,LNDAGR001,WTRGWT,2022,1.5782
EXAMPLE,WD,LNDAGR001,WTRSUR,2019,30.81
EXAMPLE,WD,LNDAGR001,WTRSUR,2020,24.1764
EXAMPLE,WD,LNDAGR001,WTRSUR,2021,13.7868
EXAMPLE,WD,LNDAGR001,WTRSUR,2022,13.8384
EXAMPLE,WD,MINHYD,HYD,2019,20.8933
EXAMPLE,WD,MINHYD,HYD,2020,20.8933
EXAMPLE,WD,MINHYD,HYD,2021,20.8933
EXAMPLE,WD,MINHYD,HYD,2022,20.8933
EXAMPLE,WD,MINLND,LND,2019,39.6805
EXAMPLE,WD,MINLND,LND,2020,33.6507
EXAMPLE,WD,MINLND,LND,2021,20.5613
EXAMPLE,WD,MINLND,LND,2022,20.7329
EXAMPLE,WD,MINPRC,WTRPRC,2019,39.6805
EXAMPLE,WD,MINPRC,WTRPRC,2020,33.6507
EXAMPLE,WD,MINPRC,WTRPRC,2021,20.5613
EXAMPLE,WD,MINPRC,WTRPRC,2022,20.7329
EXAMPLE,WD,MINSOL,SOL,2020,0.0106
EXAMPLE,WD,MINSOL,SOL,2021,0.0212
EXAMPLE,WD,MINSOL,SOL,2022,0.0322
EXAMPLE,WD,PWRHYD,ELC001,2019,20.8933
EXAMPLE,WD,PWRHYD,ELC001,2020,20.8933
EXAMPLE,WD,PWRHYD,ELC001,2021,20.8933
EXAMPLE,WD,PWRHYD,ELC001,2022,20.8933
EXAMPLE,WD,PWRSOL,ELC002,2020,0.0106
EXAMPLE,WD,PWRSOL,ELC002,2021,0.0212
EXAMPLE,WD,PWRSOL,ELC002,2022,0.0322
EXAMPLE,WD,PWRTRN,ELC002,2019,20.8933
EXAMPLE,WD,PWRTRN,ELC002,2020,20.8933
EXAMPLE,WD,PWRTRN,ELC002,2021,20.8933
EXAMPLE,WD,PWRTRN,ELC002,2022,20.8933
EXAMPLE,WN,DEMAGRDSL,AGRDSL,2020,0.34
EXAMPLE,WN,DEMAGRDSL,AGRDSL,2021,0.3468
EXAMPLE,WN,DEMAGRDSL,AGRDSL,2022,0.3538
EXAMPLE,WN,DEMAGRLND,AGRLND,2020,4.25
EXAMPLE,WN,DEMAGRLND,AGRLND,2021,4.3347
EXAMPLE,WN,DEMAGRLND,AGRLND,2022,4.4222
EXAMPLE,WN,DEMFORLND,FORLND,2020,4.9967
EXAMPLE,WN,DEMPWRGAS,GAS,2019,42.3404
EXAMPLE,WN,DEMPWRGAS,GAS,2020,42.3404
EXAMPLE,WN,DEMPWRGAS,GAS,2021,42.3404
EXAMPLE,WN,DEMPWRGAS,GAS,2022,42.3404
EXAMPLE,WN,DEMPWRGWTWAT,PWRWAT,2019,0.6351
EXAMPLE,WN,DEMPWRGWTWAT,PWRWAT,2020,0.6351
EXAMPLE,WN,DEMPWRGWTWAT,PWRWAT,2021,0.6351
EXAMPLE,WN,DEMPWRGWTWAT,PWRWAT,2022,0.6351
EXAMPLE,WN,DEMTRABIO,TRABIO,2020,15.3
EXAMPLE,WN,DEMTRABIO,TRABIO,2021,15.605
EXAMPLE,WN,DEMTRABIO,TRABIO,2022,15.92
EXAMPLE,WN,LNDAGR001,CRPCP01,2020,2.55
EXAMPLE,WN,LNDAGR001,CRPCP01,2021,2.6008
EXAMPLE,WN,LNDAGR001,CRPCP01,2022,2.6533
EXAMPLE,WN,LNDAGR001,WTREVT,2019,2.9941
EXAMPLE,WN,LNDAGR001,WTREVT,2020,5.6347
EXAMPLE,WN,LNDAGR001,WTREVT,2021,2.7897
EXAMPLE,WN,LNDAGR001,WTREVT,2022,2.7856
EXAMPLE,WN,LNDAGR001,WTRGWT,2019,0.6351
EXAMPLE,WN,LNDAGR001,WTRGWT,2020,0.6351
EXAMPLE,WN,LNDAGR001,WTRGWT,2021,0.6351
EXAMPLE,WN,LNDAGR001,WTRGWT,2022,0.6351
EXAMPLE,WN,LNDAGR001,WTRSUR,2019,5.4438
EXAMPLE,WN,LNDAGR001,WTRSUR,2020,5.6537
EXAMPLE,WN,LNDAGR001,WTRSUR,2021,5.5924
EXAMPLE,WN,LNDAGR001,WTRSUR,2022,5.5954
EXAMPLE,WN,MINHYD,HYD,2019,20.8933
EXAMPLE,WN,MINHYD,HYD,2020,20.8933
EXAMPLE,WN,MINHYD,HYD,2021,20.8933
EXAMPLE,WN,MINHYD,HYD,2022,20.8933
EXAMPLE,WN,MINLND,LND,2019,9.0729
EXAMPLE,WN,MINLND,LND,2020,11.321
EXAMPLE,WN,MINLND,LND,2021,8.4537
EXAMPLE,WN,MINLND,LND,2022,8.4412
EXAMPLE,WN,MINPRC,WTRPRC,2019,9.0729
EXAMPLE,WN,MINPRC,WTRPRC,2020,11.321
EXAMPLE,WN,MINPRC,WTRPRC,2021,8.4537
EXAMPLE,WN,MINPRC,WTRPRC,2022,8.4412
EXAMPLE,WN,PWRGAS,ELC001,2019,21.1702
EXAMPLE,WN,PWRGAS,ELC001,2020,21.1702
EXAMPLE,WN,PWRGAS,ELC001,2021,21.1702
EXAMPLE,WN,PWRGAS,ELC001,2022,21.1702
EXAMPLE,WN,PWRHYD,ELC001,2019,20.8933
EXAMPLE,WN,PWRHYD,ELC001,2020,20.8933
EXAMPLE,WN,PWRHYD,ELC001,2021,20.8933
EXAMPLE,WN,PWRHYD,ELC001,2022,20.8933
EXAMPLE,WN,PWRTRN,ELC002,2019,42.0635
EXAMPLE,WN,PWRTRN,ELC002,2020,42.0635
EXAMPLE,WN,PWRTRN,ELC002,2021,42.0635
EXAMPLE,WN,PWRTRN,ELC002,2022,42.0635
