r,t,y,CapitalInvestment
REGION1,DEMINDELCL02,2024,54.3001
REGION1,DEMINDELCL02,2025,54.2871
REGION1,DEMINDELCL02,2026,54.2751
REGION1,DEMINDELCL02,2027,54.264
REGION1,DEMINDELCL02,2028,54.2537
REGION1,DEMINDELCL02,2029,54.2442
REGION1,DEMINDELCL02,2030,54.2353
REGION1,DEMINDELCM02,2015,91.5455
REGION1,DEMINDELCM02,2017,5.248
REGION1,DEMINDELCM02,2018,5.2465
REGION1,DEMINDELCM02,2019,5.2452
REGION1,DEMINDELCM02,2020,5.244
REGION1,DEMINDELCM02,2021,8.2647
REGION1,DEMINDELCM02,2022,8.2621
REGION1,DEMINDELCM02,2023,8.2598
REGION1,DEMINDELCM02,2024,8.2576
REGION1,DEMINDELCM02,2025,8.2556
REGION1,DEMINDELCM02,2026,8.2538
REGION1,DEMINDELCM02,2027,8.2521
REGION1,DEMINDELCM02,2028,8.2506
REGION1,DEMINDELCM02,2029,8.2491
REGION1,DEMINDELCM02,2030,8.2478
REGION1,DEMINDELCN02,2015,453.5694
REGION1,DEMINDELCN02,2017,26.0015
REGION1,DEMINDELCN02,2018,25.9944
REGION1,DEMINDELCN02,2019,25.988
REGION1,DEMINDELCN02,2020,25.982
REGION1,DEMINDELCN02,2021,40.948
REGION1,DEMINDELCN02,2022,40.9353
REGION1,DEMINDELCN02,2023,40.9237
REGION1,DEMINDELCN02,2024,40.913
REGION1,DEMINDELCN02,2025,40.9033
REGION1,DEMINDELCN02,2026,40.8942
REGION1,DEMINDELCN02,2027,40.8859
REGION1,DEMINDELCN02,2028,40.8781
REGION1,DEMINDELCN02,2029,40.8709
REGION1,DEMINDELCN02,2030,40.8642
REGION1,DEMINDELCP02,2015,129.1334
REGION1,DEMINDELCP02,2017,7.4028
REGION1,DEMINDELCP02,2018,7.4007
REGION1,DEMINDELCP02,2019,7.3989
REGION1,DEMINDELCP02,2020,7.3972
REGION1,DEMINDELCP02,2021,11.6581
REGION1,DEMINDELCP02,2022,11.6545
REGION1,DEMINDELCP02,2023,11.6512
REGION1,DEMINDELCP02,2024,11.6481
REGION1,DEMINDELCP02,2025,11.6453
REGION1,DEMINDELCP02,2026,11.6428
REGION1,DEMINDELCP02,2027,11.6404
REGION1,DEMINDELCP02,2028,11.6382
REGION1,DEMINDELCP02,2029,11.6361
REGION1,DEMINDELCP02,2030,11.6342
REGION1,DEMINDELCS02,2015,1776.7112
REGION1,DEMINDELCS02,2017,101.8526
REGION1,DEMINDELCS02,2018,101.8248
REGION1,DEMINDELCS02,2019,101.7994
REGION1,DEMINDELCS02,2020,101.7762
REGION1,DEMINDELCS02,2021,160.4006
REGION1,DEMINDELCS02,2022,160.3507
REGION1,DEMINDELCS02,2023,160.3052
REGION1,DEMINDELCS02,2024,160.2636
REGION1,DEMINDELCS02,2025,160.2252
REGION1,DEMINDELCS02,2026,160.1899
REGION1,DEMINDELCS02,2027,160.1572
REGION1,DEMINDELCS02,2028,160.1268
REGION1,DEMINDELCS02,2029,160.0986
REGION1,DEMINDELCS02,2030,160.0722
REGION1,DEMRESELCJ02,2015,18035.37
REGION1,DEMRESELCJ02,2017,1033.904
REGION1,DEMRESELCJ02,2018,1033.6218
REGION1,DEMRESELCJ02,2019,1033.3642
REGION1,DEMRESELCJ02,2020,1033.1286
REGION1,DEMRESELCJ02,2021,1628.2242
REGION1,DEMRESELCJ02,2022,1627.7179
REGION1,DEMRESELCJ02,2023,1627.2561
REGION1,DEMRESELCJ02,2024,1626.833
REGION1,DEMRESELCJ02,2025,1626.444
REGION1,DEMRESELCJ02,2026,1626.085
REGION1,DEMRESELCJ02,2027,1625.7529
REGION1,DEMRESELCJ02,2028,1625.4447
REGION1,DEMRESELCJ02,2029,1625.1581
REGION1,DEMRESELCJ02,2030,1624.8909
REGION1,DEMRESELCK02,2015,1905.3538
REGION1,DEMRESELCK02,2017,109.2272
REGION1,DEMRESELCK02,2018,109.1974
REGION1,DEMRESELCK02,2019,109.1702
REGION1,DEMRESELCK02,2020,109.1453
REGION1,DEMRESELCK02,2021,172.0144
REGION1,DEMRESELCK02,2022,171.9609
REGION1,DEMRESELCK02,2023,171.9121
REGION1,DEMRESELCK02,2024,171.8674
REGION1,DEMRESELCK02,2025,171.8263
REGION1,DEMRESELCK02,2026,171.7884
REGION1,DEMRESELCK02,2027,171.7533
REGION1,DEMRESELCK02,2028,171.7208
REGION1,DEMRESELCK02,2029,171.6905
REGION1,DEMRESELCK02,2030,171.6622
REGION1,DEMRESELCL02,2015,2326.0089
REGION1,DEMRESELCL02,2017,133.3419
REGION1,DEMRESELCL02,2018,133.3055
REGION1,DEMRESELCL02,2019,133.2723
REGION1,DEMRESELCL02,2020,133.2419
REGION1,DEMRESELCL02,2021,209.9909
REGION1,DEMRESELCL02,2022,209.9256
REGION1,DEMRESELCL02,2023,209.8661
REGION1,DEMRESELCL02,2024,209.8115
REGION1,DEMRESELCL02,2025,209.7613
REGION1,DEMRESELCL02,2026,209.715
REGION1,DEMRESELCL02,2027,209.6722
REGION1,DEMRESELCL02,2028,209.6325
REGION1,DEMRESELCL02,2029,209.5955
REGION1,DEMRESELCL02,2030,209.561
REGION1,DEMRESELCM02,2015,353.7252
REGION1,DEMRESELCM02,2017,20.2778
REGION1,DEMRESELCM02,2018,20.2723
REGION1,DEMRESELCM02,2019,20.2672
REGION1,DEMRESELCM02,2020,20.2626
REGION1,DEMRESELCM02,2021,31.9341
REGION1,DEMRESELCM02,2022,31.9242
REGION1,DEMRESELCM02,2023,31.9151
REGION1,DEMRESELCM02,2024,31.9068
REGION1,DEMRESELCM02,2025,31.8992
REGION1,DEMRESELCM02,2026,31.8922
REGION1,DEMRESELCM02,2027,31.8857
REGION1,DEMRESELCM02,2028,31.8796
REGION1,DEMRESELCM02,2029,31.874
REGION1,DEMRESELCM02,2030,31.8688
REGION1,DEMRESELCN02,2015,1752.5587
REGION1,DEMRESELCN02,2017,100.468
REGION1,DEMRESELCN02,2018,100.4406
REGION1,DEMRESELCN02,2019,100.4155
REGION1,DEMRESELCN02,2020,100.3926
REGION1,DEMRESELCN02,2021,158.2201
REGION1,DEMRESELCN02,2022,158.1709
REGION1,DEMRESELCN02,2023,158.126
REGION1,DEMRESELCN02,2024,158.0849
REGION1,DEMRESELCN02,2025,158.0471
REGION1,DEMRESELCN02,2026,158.0123
REGION1,DEMRESELCN02,2027,157.98
REGION1,DEMRESELCN02,2028,157.95
REGION1,DEMRESELCN02,2029,157.9222
REGION1,DEMRESELCN02,2030,157.8962
REGION1,DEMRESELCP02,2015,498.9618
REGION1,DEMRESELCP02,2017,28.6037
REGION1,DEMRESELCP02,2018,28.5959
REGION1,DEMRESELCP02,2019,28.5888
REGION1,DEMRESELCP02,2020,28.5823
REGION1,DEMRESELCP02,2021,45.046
REGION1,DEMRESELCP02,2022,45.032
REGION1,DEMRESELCP02,2023,45.0192
REGION1,DEMRESELCP02,2024,45.0075
REGION1,DEMRESELCP02,2025,44.9968
REGION1,DEMRESELCP02,2026,44.9868
REGION1,DEMRESELCP02,2027,44.9776
REGION1,DEMRESELCP02,2028,44.9691
REGION1,DEMRESELCP02,2029,44.9612
REGION1,DEMRESELCP02,2030,44.9538
REGION1,DEMRESELCS02,2015,6865.0808
REGION1,DEMRESELCS02,2017,393.5508
REGION1,DEMRESELCS02,2018,393.4434
REGION1,DEMRESELCS02,2019,393.3454
REGION1,DEMRESELCS02,2020,393.2556
REGION1,DEMRESELCS02,2021,619.7761
REGION1,DEMRESELCS02,2022,619.5834
REGION1,DEMRESELCS02,2023,619.4076
REGION1,DEMRESELCS02,2024,619.2465
REGION1,DEMRESELCS02,2025,619.0984
REGION1,DEMRESELCS02,2026,618.9618
REGION1,DEMRESELCS02,2027,618.8354
REGION1,DEMRESELCS02,2028,618.7181
REGION1,DEMRESELCS02,2029,618.609
REGION1,DEMRESELCS02,2030,618.5073
REGION1,IMPCRU,2015,63.0063
REGION1,IMPCRU,2016,63.5085
REGION1,IMPCRU,2017,68.5682
REGION1,IMPCRU,2018,73.6112
REGION1,IMPCRU,2019,78.6381
REGION1,IMPCRU,2020,83.6506
REGION1,IMPCRU,2021,91.2819
REGION1,IMPCRU,2022,98.8964
REGION1,IMPCRU,2023,106.4982
REGION1,IMPCRU,2024,114.0853
REGION1,IMPCRU,2025,121.6583
REGION1,IMPCRU,2026,129.2187
REGION1,IMPCRU,2027,136.767
REGION1,IMPCRU,2028,144.3036
REGION1,IMPCRU,2029,151.8266
REGION1,IMPCRU,2030,159.3386
REGION1,IMPDSL,2015,2.7302
REGION1,IMPDSL,2016,2.6426
REGION1,IMPDSL,2017,2.852
REGION1,IMPDSL,2018,3.0795
