r,t,TotalTechnologyModelPeriodActivity
REGION1,LNDCP02HRIND,97.1377
REGION1,LNDCP02IIIND,259.5691
REGION1,LNDCP02IRIND,123.4808
REGION1,LNDCP02LRIND,45.4385
REGION1,LNDCP03HIIND,33.7647
REGION1,LNDCP03HRIND,121.9906
REGION1,LNDCP03IIIND,43.3748
REGION1,LNDCP03IRIND,154.3061
REGION1,LNDCP03LRIND,42.1979
REGION1,LNDCP04HRIND,548.7172
REGION1,LNDCP04IRIND,1052.1532
REGION1,LNDCP04LRIND,427.8208
REGION1,LNDCP05IRIND,129.8487
REGION1,LNDCP05LRIND,1429.3331
REGION1,LNDCP06HIIND,634.8488
REGION1,LNDCP06HRIND,239.1299
REGION1,LNDCP06IIIND,1531.2237
REGION1,LNDCP06IRIND,239.1299
REGION1,LNDCP06LRIND,205.3058
REGION1,LNDFORJWA,225.235
REGION1,LNDFORKAN,3948.3691
REGION1,LNDFORMLU,665.7681
REGION1,LNDFORNUA,184.8825
REGION1,LNDFORPPA,3607.8981
REGION1,LNDFORSLI,976.2942
REGION1,LNDFORSMA,2399.0121
REGION1,LNDGRSKAN,3218.9374
REGION1,LNDGRSMLU,324.6672
REGION1,LNDGRSPPA,2513.5992
REGION1,LNDGRSSLI,330.5999
REGION1,LNDGRSSMA,2965.7533
REGION1,LNDWATJWA,70.9011
REGION1,LNDWATKAN,78.5676
REGION1,LNDWATMLU,147.6788
REGION1,LNDWATNUA,92.4654
REGION1,LNDWATPPA,187.9142
REGION1,LNDWATSLI,184.6367
REGION1,LNDWATSMA,180.665
REGION1,MINCOA,24283.779
REGION1,MINCRU,21524.646
REGION1,MINLNDJWA,615.5172
REGION1,MINLNDKAN,7306.7461
REGION1,MINLNDMLU,1148.4851
REGION1,MINLNDNUA,311.9938
REGION1,MINLNDPPA,6328.8275
REGION1,MINLNDSLI,1549.3198
REGION1,MINLNDSMA,5710.3664
REGION1,MINNGS,36544.084
REGION1,MINPRCJWA,4516.4404
REGION1,MINPRCKAN,24604.342
REGION1,MINPRCMLU,4510.7744
REGION1,MINPRCNUA,1798.337
REGION1,MINPRCPPA,15455.901
REGION1,MINPRCSLI,7349.1604
REGION1,MINPRCSMA,19839.074
REGION1,PWRCOAJ01,116.6458
REGION1,PWRCOAJ02,233.2915
REGION1,PWRCOAJ03,266.6189
REGION1,PWRCOAJ04,133.3094
REGION1,PWRCOAJ05,121.1904
REGION1,PWRCOAJ06,136.3392
REGION1,PWRCOAJ07,214.7342
REGION1,PWRCOAJ08,181.7856
REGION1,PWRCOAJ09,522.6336
REGION1,PWRCOAJ10,265.104
REGION1,PWRCOAJ11,159.0624
REGION1,PWRCOAJ12,174.9686
REGION1,PWRCOAJ13,274.9507
REGION1,PWRCOAJ14,944.2752
REGION1,PWRCOAJ15,189.36
REGION1,PWRCOAJ18,20.3978
REGION1,PWRCOAJ19,35.3472
REGION1,PWRCOAJ21,56.0506
REGION1,PWRCOAJ23,10.0992
REGION1,PWRCOAJ24,106.4663
REGION1,PWRCOAS01,24.2381
REGION1,PWRCOAS02,92.9126
REGION1,PWRCOAS03,80.7936
REGION1,PWRCOAS04,105.0317
REGION1,PWRCOAS05,80.7936
REGION1,PWRCOAS08,10.0992
REGION1,PWRCOAS09,5.0496
REGION1,PWRCOAS10,15.1488
REGION1,PWRCOAS11,913.8831
REGION1,PWRDSLL01,1330.7172
REGION1,PWRDSLM01,229.2178
REGION1,PWRDSLN01,97.1127
REGION1,PWRDSLP01,323.3327
REGION1,PWRGEOJ01,22.7232
REGION1,PWRGEOJ02,6.2489
REGION1,PWRGEOJ03,34.0848
REGION1,PWRGEOJ04,30.6763
REGION1,PWRGEOJ05,28.12
REGION1,PWRGEOJ06,58.0294
REGION1,PWRGEOJ07,15.3382
REGION1,PWRGEOJ08,14.06
REGION1,PWRGEOL01,20.4509
REGION1,PWRGEOS01,28.12
REGION1,PWRGEOS02,2.8887
REGION1,PWRHYDJ01,106.1931
REGION1,PWRHYDJ02,152.6999
REGION1,PWRHYDJ03,28.1768
REGION1,PWRHYDJ04,27.4193
REGION1,PWRHYDJ05,15.9062
REGION1,PWRHYDJ06,8.1804
REGION1,PWRHYDK01,4.5446
REGION1,PWRHYDL01,2.1208
REGION1,PWRHYDL02,5.4536
REGION1,PWRHYDL03,28.9342
REGION1,PWRHYDL04,29.5402
REGION1,PWRHYDL05,21.2083
REGION1,PWRHYDL06,19.9964
REGION1,PWRHYDL07,39.3869
REGION1,PWRHYDS01,1.5149
REGION1,PWRHYDS02,10.3012
REGION1,PWRHYDS03,26.5104
REGION1,PWRHYDS04,17.2696
REGION1,PWRHYDS05,2.4238
REGION1,PWRHYDS06,31.8125
REGION1,PWRHYDS07,13.6339
REGION1,PWRHYDS08,4.2417
REGION1,PWRHYDS09,12.422
REGION1,PWRHYDS10,7.5744
REGION1,PWRHYDS11,27.2678
REGION1,PWRHYDS12,26.3589
REGION1,PWRHYDS13,43.3256
REGION1,PWRHYDS14,48.0217
REGION1,PWRHYDS15,6.817
REGION1,PWRHYDS16,27.2678
REGION1,PWRNGSJ01,7.385
REGION1,PWRNGSJ02,86.8026
REGION1,PWRNGSJ03,419.6724
REGION1,PWRNGSJ04,196.5014
REGION1,PWRNGSJ05,286.5897
REGION1,PWRNGSJ06,375.9244
REGION1,PWRNGSJ07,438.2569
REGION1,PWRNGSJ08,111.002
REGION1,PWRNGSJ09,6712.3396
REGION1,PWRNGSK01,7.6897
REGION1,PWRNGSK02,1222.4559
REGION1,PWRNGSS01,14.1389
REGION1,PWRNGSS02,51.1272
REGION1,PWRNGSS03,2333.7928
REGION1,PWRTRNJ01,12022.487
REGION1,PWRTRNJN1,1038.5645
REGION1,PWRTRNK01,1112.3335
REGION1,PWRTRNL01,1357.9093
REGION1,PWRTRNM01,206.5025
REGION1,PWRTRNN01,1023.1327
REGION1,PWRTRNP01,291.2907
REGION1,PWRTRNS01,4007.7907
REGION1,PWRTRNSJ1,383.8666
REGION1,PWRWNDL01,9.4708
REGION1,RNWBIO,53961.05
REGION1,RNWGEO,260.7402
REGION1,RNWHYD,796.5239
REGION1,RNWWND,9.4708
REGION1,UPSCRU001,63118.627
